product_id,num__log_discounted_price,num__log_actual_price,num__discount_percentage,num__log_rating_count,num__log_review_length,cat__main_category_Accessories&Peripherals,cat__main_category_Cameras&Photography,cat__main_category_ExternalDevices&DataStorage,"cat__main_category_Headphones,Earbuds&Accessories","cat__main_category_Heating,Cooling&AirQuality",cat__main_category_HomeAudio,cat__main_category_HomeStorage&Organization,"cat__main_category_HomeTheater,TV&Video",cat__main_category_Kitchen&HomeAppliances,cat__main_category_Mobiles&Accessories,cat__main_category_NetworkingDevices,cat__main_category_OfficePaperProducts,cat__main_category_Other,cat__main_category_WearableTechnology,shap_value_num__log_discounted_price,shap_value_num__log_actual_price,shap_value_num__discount_percentage,shap_value_num__log_rating_count,shap_value_num__log_review_length,shap_value_cat__main_category_Accessories&Peripherals,shap_value_cat__main_category_Cameras&Photography,shap_value_cat__main_category_ExternalDevices&DataStorage,"shap_value_cat__main_category_Headphones,Earbuds&Accessories","shap_value_cat__main_category_Heating,Cooling&AirQuality",shap_value_cat__main_category_HomeAudio,shap_value_cat__main_category_HomeStorage&Organization,"shap_value_cat__main_category_HomeTheater,TV&Video",shap_value_cat__main_category_Kitchen&HomeAppliances,shap_value_cat__main_category_Mobiles&Accessories,shap_value_cat__main_category_NetworkingDevices,shap_value_cat__main_category_OfficePaperProducts,shap_value_cat__main_category_Other,shap_value_cat__main_category_WearableTechnology
B009P2LITG,7.682482446534506,8.09559870137819,34.0,7.448333860897476,6.349138991379798,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01910597591268015,-0.011139431516930927,0.00699742101933225,0.0170727120625088,0.03188624533111579,-0.013551826127368258,0.0,-0.0004813712337636389,0.015728693631244822,-0.021126223953906446,0.00013383952318690717,0.0006185462287976406,0.0003227479827182833,0.002158840755437268,0.0023263070770190098,-0.0001594836008735001,-0.000865992623148486,-0.0028945109905907885,0.0013016905379481614
B07K19NYZ8,7.749753406274437,8.098946748943339,29.0,5.278114659230517,5.147494476813453,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009795684622367844,-0.014978567125945119,0.01438830392253294,-0.08124731764473836,-0.008478585841221502,-0.022874495893338464,0.0,-0.0006393032142659649,0.009079997619555797,-0.055753458776453046,6.472170702181756e-05,0.0005700513580814004,0.0006326953512325417,0.0011274517374113202,0.0008095803912146948,-0.00016379950917325915,-0.0008899562308215536,-0.0020989059284329415,0.0009280116646550596
B07M69276N,7.24422751560335,7.824046010856292,44.0,10.05061361742642,7.290292882446597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.003599468497122871,0.030182710769004188,0.021768401604640532,0.10178780889487825,0.06512033857710776,-0.009602803250891157,0.0,-0.0003464695601724088,0.030553084801649675,0.001898091911280062,0.0003008373291231692,0.0005900627456139773,0.0012737618523533457,0.004804457930003991,0.006334951808094047,0.007644296539219795,-0.000720247684221249,-0.002607873861270491,0.0021538380748825146
B0B7B9V9QP,9.852194258148575,10.463131911491969,46.0,6.90975328164481,6.818924065275521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038742659992713015,0.02406862105577602,-0.0007288123207399622,-0.0785709256438713,-0.029869178215158172,-0.024433876509428954,0.0,-0.0005579488445073366,0.011442389006842859,0.000968583353824215,5.4381678928621114e-05,0.0005138461157912389,-0.007351711168303155,0.0010340845081373117,0.001425045251962729,-0.00015026677327114156,-0.0007368030585348606,-0.001737790370825678,0.0007383987840148621
B07TR5HSR9,6.48768401848461,7.313220387090301,56.0,10.162152675917415,7.24850407237061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003982385328417877,0.018308938902046067,0.016813331897574245,0.059834300605725727,0.03458887413566117,0.01615963163392735,0.0,-0.00040668929228559136,0.029409881356696133,0.001767398483643774,0.0004005608998704702,0.0006217614177148789,0.0012538685741310474,0.004651258282901836,0.008295642618177225,-0.0003153048164676875,-0.0007610537638538517,-0.0022236318842624313,0.0019958998568472453
B08CKW1KH9,5.3230099791384085,6.396929655216146,66.0,5.828945617610208,6.318968113746434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031411921455874105,-0.01813924747897545,-0.012788288568408461,-0.11724853205436375,0.0034907222201582045,-0.026322488822770537,0.0,-0.0006842101784422993,0.011465631908213253,0.007814417849294842,0.00011924635589821264,0.0007373780658235774,-0.023793619983625832,0.0005673932166246232,-0.0007335083995712921,-9.269949805457145e-05,-0.0010819571831962094,-0.0017036256086430512,0.0009875287499744444
B00P93X0VO,4.74493212836325,4.795790545596741,5.0,9.098179005087852,6.873163834212518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.006734929731610464,0.032642655205709165,0.05326697747412254,0.013778852482209914,-0.017923793654190376,-0.00028996241235290654,0.0,-0.00033189708774443715,0.02441568788548466,0.0021604104766447564,0.00014953583828173579,0.0008875061376602389,0.0025736584636615587,0.0014704992432962173,0.003228443875559606,-8.325750008225441e-05,0.02883753745802096,-0.0026597697992110625,0.0015240382472984492
B08PSQRW2T,5.991464547107982,7.003065458786462,64.0,7.895808377083183,6.966024187106113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011737838467524853,0.002319708878931124,-0.004561617567087523,-0.01860171625870862,-0.027073305705780513,0.020485181011463283,0.0,-0.0003558489406714216,0.019792876066348983,0.0022864267457043752,0.00023261480644578113,0.0007361973851220682,0.0012625397719966713,0.0017793859835364856,0.004163098482822533,-0.0001093765249243006,-0.0013264947608695365,-0.0022266489976027516,0.0014765296551922803
B008QTK47Q,7.387090235656757,7.465082736399547,8.0,10.544683327463972,9.82811724551135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00789173753684736,0.02800254857997061,0.024969609917461638,0.07249937202359433,0.004270182743493933,-0.0060619276652869305,0.0,-0.00042231844505295155,0.016757434608298354,0.0012463656354520937,0.00032967167673632504,0.0005378332600230352,0.000804380111512728,-0.01696360268899298,0.005087961759127211,-0.0003752724174410105,-0.0006968834536382929,-0.0007919829583261162,0.0013271477988746484
B0836JGZ74,6.956545443151569,7.824046010856292,58.0,5.796057750765372,6.1224928095143865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02727342290439992,-0.039734429904201535,-0.010947912551710032,-0.19076820617090562,-0.02264144944099826,-0.0336444943807146,0.0,-0.0005142710485961288,0.010253233880357584,-0.12526474909347599,8.569005120079965e-05,0.000676619790319819,0.0005868552076572087,-8.231557629187591e-05,-0.00047239536463166586,-0.00013948654872365297,-0.0009398446546401829,-0.0019829770611249843,0.000997179115365725
