product_id,product_name,main_category,rating,rating_count,m_value,category_mean_rating,is_suspicious,bayesian_rating,rating_gap,rating_rank,bayesian_rank,rank_change,target_rule
B07QZ3CZ48,"boAt BassHeads 122 Wired Earphones with Heavy Bass, Integrated Controls and Mic (Gun Metal)","Headphones,Earbuds&Accessories",4.2,206.0,10259.5,3.9206,True,3.9261,0.2739,522,1107,585,suspicious: apply Bayesian formula
B0BP7XLX48,"Syncwire LTG to USB Cable for Fast Charging Compatible with Phone 5/ 5C/ 5S/ 6/ 6S/ 7/8/ X/XR/XS Max/ 11/12/ 13 Series and Pad Air/Mini, Pod & Other Devices (1.1 Meter, White)",Accessories&Peripherals,5.0,5.0,1313.0,4.145,True,4.1482,0.8518,1,584,583,suspicious: apply Bayesian formula
B0912WJ87V,"Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black",Other,3.8,1118.0,3029.0,4.2569,True,4.1337,-0.3337,1186,606,-580,suspicious: apply Bayesian formula
B09ZHCJDP1,"Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop",Accessories&Peripherals,5.0,23.0,1313.0,4.145,True,4.1597,0.8403,3,571,568,suspicious: apply Bayesian formula
B09JN37WBX,Lint Remover Woolen Clothes Lint Extractor Battery Lint Removing Machine Bhur Remover,Kitchen&HomeAppliances,4.6,124.0,623.5,4.0534,True,4.1441,0.4559,22,590,568,suspicious: apply Bayesian formula
B0BJ966M5K,Aquadpure Copper + Mineral RO+UV+UF 10 to 12 Liter RO + UV + TDS ADJUSTER Water Purifier with Copper Charge Technology black & copper Best For Home and Office (Made In India),Kitchen&HomeAppliances,4.6,124.0,623.5,4.0534,True,4.1441,0.4559,25,591,566,suspicious: apply Bayesian formula
B0B9BXKBC7,"WeCool S5 Long Selfie Stick, with Large Reinforced Tripod Stand up to 61 Inch / 156 Cms, Ultra Long Multi Function Bluetooth Selfie Stick with 1/4 Screw Compatible with Gopro, Camera, and Ring Light",Mobiles&Accessories,4.6,245.0,3215.5,4.1258,True,4.1594,0.4406,16,572,556,suspicious: apply Bayesian formula
B0B5GJRTHB,"Wecool Moonwalk M1 ENC True Wireless in Ear Earbuds with Mic, Titanium Drivers for Rich Bass Experience, 40+ Hours Play Time, Type C Fast Charging, Low Latency, BT 5.3, IPX5, Deep Bass (Black)","Headphones,Earbuds&Accessories",4.2,2284.0,10259.5,3.9206,True,3.9715,0.2285,553,1082,529,suspicious: apply Bayesian formula
B09VH568H7,Amazon Brand - Solimo 3A Fast Charging Tough Type C USB Data Cable  – 1 Meter,Accessories&Peripherals,3.8,51.0,1313.0,4.145,True,4.1321,-0.3321,1134,609,-525,suspicious: apply Bayesian formula
B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",Accessories&Peripherals,4.5,127.0,1313.0,4.145,True,4.1763,0.3237,33,557,524,suspicious: apply Bayesian formula
